<!-- 武将战力 -->
赵云,98.45
关羽,80.76
吕布,79.91
夏侯惇,79.44
马超,78.97
张飞,78.84
颜良,77.99
典韦,77.91
许褚,76.59
黄忠,75.65
臧霸,75.19
文鸯,74.82
高览,74.78
孙策,74.67
甘宁,74.56
李严,74.53
曹彰,74.41
张任,74.27
夏侯渊,74.19
杨任,74.18
庞德,74.15
王平,74.15
程普,74.11
陈武,74.07
曹仁,74.05
文丑,74.01
华雄,74.00
太史慈,74.00
高顺,73.95
徐晃,73.93
乐进,73.92
曲阿小将,73.89
曹洪,73.88
张苞,73.81
周泰,73.78
马岱,73.78
鄂焕,73.78
诸葛尚,73.76
凌统,73.76
何曼,73.74
王双,73.72
纪灵,73.69
姜维,73.68
兀突骨,73.67
邓艾,73.60
张辽,73.59
徐质,73.58
李典,73.51
管亥,73.51
张郃,73.47
武安国,73.40
关平,73.22
关兴,73.09
泠苞,73.03
魏延,72.97
文聘,72.63
徐盛,72.17
刘封,68.57
邓忠,62.95
曹休,62.82
刘备,62.45
公孙瓒,62.32
周仓,60.64
沙摩柯,59.42
<!-- 战力修正 -->
SURPRISE_ATTACK,25.00
ARCHERY,15.00
BERSERKER,2.00
RELUCTANT,-0.07
EXHAUSTED,-2.00
AGE,-6.93
CHAOS,-8.00
IMPAIRED,-10.00
LETHAL_RNG,-44.50
<!-- 修正约束 -->
max_CHAOS,-1.00
min_CHAOS,-8.00
max_SURPRISE_ATTACK,25.00
min_SURPRISE_ATTACK,10.00
max_ARCHERY,15.00
min_ARCHERY,5.00
max_BERSERKER,10.00
min_BERSERKER,2.00
max_RELUCTANT,0.00
min_RELUCTANT,-8.00
max_EXHAUSTED,-2.00
min_EXHAUSTED,-10.00
max_IMPAIRED,-5.00
min_IMPAIRED,-10.00
max_AGE,-1.00
min_AGE,-10.00
max_LETHAL_RNG,-20.00
min_LETHAL_RNG,-50.00
<!-- 模型参数 -->
alpha,0.300
beta,0.035
p,1.500
<!-- 训练参数 -->
LEARNING_RATE_C,0.050000
LEARNING_RATE_M,0.005000
LEARNING_RATE_GLOBAL,0.000500
EPOCHS,10000
STOPPING_DELTA_LOSS,0.000010
LEARNING_RATE_DECAY_DELTA_LOSS,0.500000
